crime_type,location,time,crime_category
Petty Theft,Miramar Street,8:38 PM-1:00 PM,Theft and Damage
Medical Aid,Moore's Cancer Center,2:01 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Galbraith Hall,2:02 PM,Non-Emergent Call or Report
Vandalism,York Hall,2:20 PM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Ida and Cecil Green Faculty,3:17 PM,Non-Emergent Call or Report
Medical Aid,Actri,3:30 PM,Welfare
Reckless Driving,Scholars Drive,3:57 PM,Traffic
Incomplete/Accidental Wireless 911 Call,Scholars Parking,5:08 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Genesee Avenue,6:44 PM,Non-Emergent Call or Report
Grand Theft,Viento,5:30 PM-5:00 PM,Theft and Damage
Information,Matthews Apartments,9:53 PM,Non-Emergent Call or Report
UC Policy Violation,Scholars Drive,10:22 PM,Other
Security Alarm,Leichtag Family Foundation,11:17 PM,Disturbance
Simple Assault,UCSD East Campus Medical Center,8:45 PM,Violent
Petty Theft,Miramar Street,8:38PM-1:00PM,Theft and Damage
Petty Theft,Miramar Street,12:00AM-8:50AM,Theft and Damage
Petty Theft - Micro Mobility Device,Neighborhood - Price Center,8:40 PM-8:50 PM,Theft and Damage
Noise Disturbance,Argo Hall,12:20 AM,Disturbance
Noise Disturbance,Seventh College - West,2:07 AM,Disturbance
Noise Disturbance,Douglas Apartments,2:09 AM,Disturbance
Medical Aid,Seventh College - West,3:29 AM,Welfare
Hazardous Materials,East Campus Medical Center,5:10 AM,Other
Incomplete/Accidental Landline 911 Call,The Jeannie on Scholars,7:03 AM,Non-Emergent Call or Report
Citizen Contact,Campus Emergency Services Building,8:22 AM,Other
Non-Injury Accident,La Jolla Village Drive,9:50AM-10:44AM,Welfare
Suspicious Vehicle,Torrey Pines Glider port,9:52 AM,Disturbance
Incomplete/Accidental Landline 911 Call,Tapestry,10:05 AM,Non-Emergent Call or Report
Disturbance,University Avenue,10:32 AM,Disturbance
Shoplifting,Bookstore,10:07AM-10:47AM,Theft and Damage
Welfare Check,Campus Point Parking West,11:03 AM,Welfare
Fire Alarm,Tdlln - Sankofa,11:06 AM,Disturbance
Indecent Exposure,Torrey Pines Glider port,11:31 AM,Other
Panic/Silent Alarm,Pepper Canyon Hall,11:33 AM,Disturbance
Property Damage,Campus Services Way,11:37 AM,Theft and Damage
Citizen Contact,Visual Arts Facility,11:49 AM,Other
Incomplete/Accidental Wireless 911 Call,Russell Walk,12:00 PM,Non-Emergent Call or Report
Lewd Act In Public,Torrey Pines Glider port,12:39 PM,Other
Attempted Grand Theft - Micro Mobility Device,La Jolla Del Sol,7:30 PM - 12:30 PM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Jacobs Medical Center,1:15 PM,Non-Emergent Call or Report
Petty Theft - Micro Mobility Device,York Hall,11:00 AM-9:45 AM,Theft and Damage
Drug Impound,Parking Lot P751,2:06 PM,Traffic
Medical Aid,UC Extended Studies,2:23 PM,Welfare
Incomplete/Accidental Landline 911 Call,Genesee Avenue,2:31 PM,Non-Emergent Call or Report
Information,Black Gold Road,2:55 PM,Non-Emergent Call or Report
Suspicious Person,Visual Arts Facility,3:17 PM,Disturbance
Petty Theft,Warren Lecture Hall,3:59 PM,Theft and Damage
Welfare Check,Pepper Canyon Apartments,4:16 PM,Welfare
Traffic Hazard,Gilman Drive,4:27 PM,Traffic
Grand Theft,Warren Lecture Hall,4:00PM-4:50PM,Theft and Damage
Welfare Check,Genesee Avenue,5:06 PM,Welfare
Incomplete/Accidental Landline 911 Call,Tapestry,7:01 PM,Non-Emergent Call or Report
Fire Alarm,Kaleidoscope,7:04 PM,Disturbance
Security Alarm,Campus Services Complex - Building C,7:43 PM,Disturbance
Disturbance,Seventh College - East,8:20 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Pepper Canyon Housing,9:05 PM,Non-Emergent Call or Report
Medical Aid,Rita Atkinson Residences,10:37 PM,Welfare
Medical Aid,Tioga Hall,10:49 PM,Welfare
Welfare Check,Trolley - La Jolla Health Station,11:45 PM,Welfare
Citizen Contact,Matthews Apartments,12:04 AM,Other
Security Alarm,Environmental Management Facility,4:55 AM,Disturbance
Reckless Driving,I-5,6:05 AM,Traffic
Security Alarm,Cognitive Sciences Building,8:36 AM,Disturbance
Assist Other Agency,Goldberg Apartments,9:25 AM,Other
General Disturbance,Villa La Jolla,9:56 AM,Disturbance
Gas/Water/Sewer Leak,Leichtag Family Foundation,10:52 AM,Other
Injury,Voigt Dip,1:03 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Atkinson Hall,1:36 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,La Jolla Village Drive,2:21 PM,Non-Emergent Call or Report
Medical Aid,La Jolla Del Sol Apartments,2:29 PM,Welfare
Welfare Check,Student Services Center,2:44 PM,Welfare
Unknown Injury Accident,I-5,3:13 PM,Welfare
Citizen Contact,Leichtag Family Foundation,1:30pm,Other
Vandalism,General Store,4:46 PM,Theft and Damage
Injury,Muir Lane,4:58 PM,Welfare
Animal Call,Tamarack Apartments,5:30 PM,Other
Security Alarm,Student Services Center,5:49 PM,Disturbance
Lost Property,High Bay Physics,6:25 PM,Theft and Damage
Incomplete/Accidental Landline 911 Call,Design and Innovation Building,6:50 PM,Non-Emergent Call or Report
Missing Vehicle,Theatre District Parking,8:35 PM,Theft and Damage
Security Alarm,Leichtag Family Foundation,8:42 PM,Disturbance
Missing Person,Mesa Apartments - South,9:47 PM,Welfare
Noise Disturbance,Tdlln - Pulse,10:19 PM,Disturbance
Drunk in Public,Mandell Weiss Theatre,10:49 PM,Drugs
Possession of Marijuana,Oceania Hall,11:58 PM,Drugs
Petty Theft,Tioga Hall,4:00PM-8:45PM,Theft and Damage
Battery,UCSD Medical Center - Hillcrest,6:42 PM,Violent
Citizen Flagdown,Trolley - Central Campus Station,1:43 AM,Other
Noise Disturbance,Earth Hall - North,1:43 AM,Disturbance
General Disturbance,Holiday Court,7:08 AM,Disturbance
Incomplete/Accidental Wireless 911 Call,Voigt Drive,8:38 AM,Non-Emergent Call or Report
Vandalism,Central Utilities Plant,7:30PM-8:50PM,Theft and Damage
Fire Alarm,Mosaic,10:00 AM,Disturbance
Disturbance,Veteran Affairs Medical Center,10:07 AM,Disturbance
Campus Security Authority Report,UCSD Medical Center - Hillcrest,10:31 AM,Non-Emergent Call or Report
Petty Theft,Campus Emergency Services Building,12:00PM-11:30AM,Theft and Damage
Vandalism,Rita Atkinson,12:00PM-12:21PM,Theft and Damage
Citizen Contact,Student Services Center,3:08 PM,Other
Petty Theft,La Jolla Del Sol,8:30AM-5:45PM,Theft and Damage
Information,Mesa Apartments - South,7:06 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Brisa on Miramar Street,7:09 PM,Non-Emergent Call or Report
Stay Away Order,Galbraith Hall,7:15PM-8:32PM,Disturbance
Petty Theft,Vela on Gilman Drive,4:00PM-8:30PM,Theft and Damage
Domestic Dispute Incident,UCSD Campus - Residential,9:09 AM,Disturbance
Suspicious Person,Mesa Apartments - Central,9:34 AM,Disturbance
Weapons Law Violation Arrest/ Stay Away Order Issuance,Design and Innovation Lane,12:15 PM,Violent
Welfare Check,Gilman Parking,1:20 PM,Welfare
Medical Aid,Torrey Pines Glider port,1:57 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Cala,3:13 PM,Non-Emergent Call or Report
Suspicious Circumstance,Gilman Drive/ Mandeville Lane,5:31 PM-6:18 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Tdlln - Podemos,6:58 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,North Torrey Pines,7:35 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Nobel Drive,8:51 PM,Non-Emergent Call or Report
Petty Theft,Scholars Drive,12:00AM-10:00AM,Theft and Damage
Suspicious Circumstance,Calle Del Oro,10:32 PM,Disturbance
Suspicious Person,Tdlln - Pulse,11:13 PM,Disturbance
Security Alarm,Joan and Irwin Jacobs,11:28 PM,Disturbance
Weapons Law Violation/ Drug Law Violation/ Stay Away Order Issuance,Cala,2:22 AM - 3:05 AM,Violent
Vandalism/ Stay Away Order Issuance,Health Trolley Footbridge,7:00 AM - 6:47 AM,Theft and Damage
Drug Law Violation/ Failure to Pay Transit System/ Stay Away Order Issuance,Trolley - Central Campus Station,9:01 AM - 10:07 AM,Disturbance
Suspicious Circumstances,Trolley - La Jolla Health Station,11:00 AM - 11:15 AM,Disturbance
Disturbance,Parking Lot P017,11:42 AM,Disturbance
Fire Alarm,Shiley Eye Institute,12:56 PM,Disturbance
Suspicious Person,ACTRI,1:54 PM,Disturbance
Non Injury Collision,La Jolla Village Drive/Genesee Avenue,2:33 PM,Traffic
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station (Bike Racks),2:00 PM - 6:00 PM,Theft and Damage
Information Report,Jacobs Medical Center,6:00 PM - 9:55 PM,Non-Emergent Call or Report
Medical Aid,Koman Family Outpatient Pavilion,9:20 PM,Welfare
Petty Theft - Micro Mobility Device,Jacobs Hall (Bike Racks),4:00 PM - 9:00 PM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,La Jolla Village Drive,10:10 PM,Non-Emergent Call or Report
Security Alarm,Leichtag Family Foundation Biomedical Research,10:56 PM,Disturbance
Petty Theft,Seventh College West #1 (Bike Racks),5:00 AM - 12:55 PM,Theft and Damage
Medical Aid,Trolley- La Jolla Health Station,12:07 AM,Welfare
Noise Disturbance,Black Apartments,12:52 AM,Disturbance
Noise Disturbance,Seventh College East #1,1:08 AM,Disturbance
Citizen Contact,Muir Tennis Courts,3:39 AM,Other
Collision With Injury,Warren Student Activity Center,9:12 AM,Traffic
Assist Other Agency,Voigt Drive- Pepper Canyon Drive,9:45 AM,Other
Fire Alarm,Café Ventanas,10:09 AM,Disturbance
Medical Aid,Sankofa,12:45 PM,Welfare
Property Damage,Revelle Plaza,9:15 AM,Theft and Damage
Petty Theft,Price Center East,12:40 PM - 12:50 PM,Theft and Damage
Vandalism,Black's Beach Gate,Unknown,Theft and Damage
Campus Security Authority Report (CSA),UC San Diego,Unknown,Non-Emergent Call or Report
Campus Security Authority Report (CSA),UCSD Residential Building,Unknown,Non-Emergent Call or Report
Campus Security Authority Report (CSA),UCSD Residential Building,Unknown,Non-Emergent Call or Report
Campus Security Authority Report (CSA),UCSD Residential Building,Unknown,Non-Emergent Call or Report
Information Only Report,Design & Innovation Building,2:27 PM,Non-Emergent Call or Report
Medical Aid,La Cuesta Drive,1:40 PM,Welfare
Security Alarm,Student Services Center,1:43 PM,Disturbance
Medical Aid,Peterson Hall,2:42 PM,Welfare
Welfare Check,Receiving & Distribution,2:59 PM,Welfare
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Road,4:36 PM,Non-Emergent Call or Report
Incomplete/ Accidental Landline 911 Call,Catalyst,4:50 PM,Non-Emergent Call or Report
Incomplete/ Accidental Landline 911 Call,Geisel Library,4:50 PM,Non-Emergent Call or Report
Welfare Check,"Irvine, California",5:04 PM,Welfare
Medical Aid,Moores Cancer Center,6:16 PM,Welfare
Noise Disturbance,Price Center East,6:21 PM,Disturbance
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Road/ Genesee Avenue,7:22 PM,Non-Emergent Call or Report
Fire Alarm,Azad,8:31 PM,Disturbance
Grand Theft- Micro Mobility Device,Wells Fargo Hall,9:00 AM - 7:15 PM,Theft and Damage
Welfare Check,E Grand Avenue,9:01 PM,Welfare
Grand Theft Report - Micro Mobility Device,Trolley- Central Campus Station,9:00 PM - 9:45 PM,Theft and Damage
Citizen Assist,South Parking Structure,11:30 PM,Other
Suspicious Person,Mandell Weiss Theatre,11:32 PM,Disturbance
Suspicious Person,Justice Lane,12:01 AM,Disturbance
Medical Aid,Trolley - La Jolla Health Station,12:51 AM,Welfare
Noise Disturbance,"One Miramar Street, Building 1",1:29 AM,Disturbance
Suspicious Injury Report,Paradise Point Beach,11:30 PM,Disturbance
Stay Away Order Issuance,Viento,3:14 AM,Disturbance
Information,Thornton Pavilion,7:13 AM,Non-Emergent Call or Report
Medical Aid,Rebecca and John Moores Cancer Center,9:23 AM,Welfare
Citizen Flagdown,Matthews Lane,10:06 AM,Other
Petty Theft - Micro Mobility Device/ Possess Burglary Tools/ Stay Away Order Issuance,Trolley - Central Campus Station,10:00 AM - 1:02 PM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Regents Road,11:52 AM,Non-Emergent Call or Report
Fire Alarm,Tioga Hall,12:14 PM,Disturbance
Reckless Driving,Rita/LJIC Footbridge,12:14 PM,Traffic
Suspicious Person,Mayer Hall,12:42 PM,Disturbance
Person Down,La Jolla Village Drive/La Jolla Scenic Drive North,2:21 PM,Other
Incomplete/Accidental Wireless 911 Call,TDLLN - Podemos,4:50 PM,Non-Emergent Call or Report
Petty Theft,3453 Pepper Canyon Lane,4:35 PM - 5:35 PM,Theft and Damage
Incomplete/Accidental Landline 911 Call,Viento,5:52 PM,Non-Emergent Call or Report
Hit & Run Collision - Non Injury,Hopkins Parking,2:30 PM - 5:30 PM,Traffic
Citizen Assist,Mexico,7:13 PM,Other
Medical Aid,Trolley - La Jolla Health Station,7:46 PM,Welfare
Vandalism,Applied Physics & Mathematics,8:31 PM,Theft and Damage
Information,LAX,8:58 PM,Non-Emergent Call or Report
Noise Disturbance,Marea,10:22 PM,Disturbance
Reckless Driving,Torrey Pines Gliderport - UCSD Campus,10:50 PM,Traffic
Medical Aid,La Jolla Farms Road,10:56 PM,Welfare
Drunk in Public,Black Gold Road,11:17 PM,Drugs
Welfare Check,Capa,11:25 PM,Welfare
Incomplete/Accidental Wirless 911 Call,Blake Hall,12:07 AM,Non-Emergent Call or Report
Suspicious Person,Canyonview Rec/Athletics Administration,12:17 AM,Disturbance
Noise Disturbance,Revelle Plaza,2:04 AM,Disturbance
Noise Disturbance,Galathea Hall,3:01 AM,Disturbance
Non-Student Refuse to Leave University / Stay Away Order Issuance,Parking Lot P418,8:10 AM,Disturbance
Suspicious Circumstances,SIO Pier,8:23 AM,Disturbance
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,9:10 AM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Costa Verde Blvd.,9:25 AM,Non-Emergent Call or Report
Medical Aid,Trolley - La Jolla Health Station,9:55 AM,Welfare
Disturbance,Carlsbad Blvd.,10:58 AM,Disturbance
Incomplete/Accidental Landline 911 Call,High Bay Physics Laboratory,11:47 AM,Non-Emergent Call or Report
Suspicious Person,"one Miramar Street, Building 1",12:50 PM,Disturbance
Information,"One Miramar Street, Building 2",1:40 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Epstein Family Amphitheater,1:50 PM,Non-Emergent Call or Report
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,12:30 PM - 3:00 PM,Theft and Damage
Citizen Flagdown,Trolley - Central Campus Station,3:18 PM,Other
Stay Away Order Issuance,Matthews Apartments D,3:23 PM,Disturbance
Welfare Check,Tierra,3:26 PM,Welfare
Incomplete/Accidental Wireless 911 Call,TDLLN - Podemos,5:44 PM,Non-Emergent Call or Report
Fire Alarm,Tapestry,8:04 PM,Disturbance
Sex Registrant: Fail to Register Change of Address,9800 Campus Point Drive,10:19 PM,Other
Vandalism,64 Degrees,Unknown,Theft and Damage
Fire Alarm,Kaleidoscope,1:19 AM,Disturbance
Incomplete/Accidental Landline 911 Call,North Torrey Pines Road,1:35 AM,Non-Emergent Call or Report
Security Alarm,Leichtag Family Foundation Biomedical Research,2:03 AM,Disturbance
Vandalism,Applied Physics & Mathematics,9:00 PM - 3:22 AM,Theft and Damage
Stay Away Order Issuance,Pepper Canyon Hall,4:22 AM,Disturbance
Trespass,Thornton Pavilion,5:47 AM,Disturbance
Vandalism,Black's Beach,Unknown,Theft and Damage
Preserve the Peace,Kaleidoscope,10:45 AM,Other
Suspicious Person,Rya,12:50 PM,Disturbance
Citizen Contact,UCSD Police Department,1:18 PM,Other
Mental Health Detention,Villa La Jolla/ VA Hospital - Bus Stop,1:41 PM,Welfare
Shoplifting,Price Center West - Bookstore,3:00 PM - 3:10 PM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Campus Point Drive,3:53 PM,Non-Emergent Call or Report
Triton CORE,Student Health & Wellness Center,4:17 PM,Other
Welfare Check,La Jolla Shores Drive/North Torrey Pines Road,4:29 PM,Welfare
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,6:50 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Thornton Pavilion,6:51 PM,Non-Emergent Call or Report
Suspicious Person,Gilman Drive/Interstate 5 Overpass Bridge,9:54 PM,Disturbance
Citizen Contact,Croutons Restaurant,10:45 PM,Other
Suspicious Vehicle,Central Mesa Apartments,11:07 PM,Disturbance
Suspicious Circumstances,Seventh College East #1,12:23 PM - 12:26 PM,Disturbance
Suspicious Person,Warren Student Activity Center,1:45 AM,Disturbance
Information,Geisel Library,6:04 AM,Non-Emergent Call or Report
Noise Disturbance,Piedra,7:25 AM,Disturbance
Incomplete/Accidental Wireless 911 Call,Center Hall,8:16 AM,Non-Emergent Call or Report
Found Property,64 Degrees,8:19 AM,Theft and Damage
Traffic Hazard,Interstate 5,8:36 AM,Traffic
Incomplete/Accidental Landline 911 Call,Brisa,10:33 AM,Non-Emergent Call or Report
Reckless Driving,Voigt Drive/Equality lane,11:17 AM,Traffic
Medical Aid,Peterson Hall,12:18 PM,Welfare
Suspicious Person,"Housing, Dining and Hospitality",1:27 PM,Disturbance
Injury,Trolley - Central Campus Station,1:30 PM,Welfare
Suicide Attempt,Nobel Drive,1:56 PM,Welfare
Petty Theft,Tdlln - Survivance,11:00 PM - 12:50 PM,Theft and Damage
Petty Theft,Seventh College,7:00 PM - 8:00 AM,Theft and Damage
Shoplifting,Price Center West - Bookstore,2:08 PM - 2:44 PM,Theft and Damage
Information Report,Social Sciences Building,6:22PM,Non-Emergent Call or Report
Fire Alarm,Catalyst,3:17 PM,Disturbance
Injury,Chancellor House,5:04 PM - 5:29 PM,Welfare
Petty Theft - Micro Mobility Device,Center Hall,4:00 PM-4:30 PM,Theft and Damage
Unknown Injury Collision,State Route 52,5:29 PM,Traffic
Incomplete/Accidental Wireless 911 Call,Jacobs Medical Center,5:50 PM,Non-Emergent Call or Report
Security Alarm,Campus Emergency Services,7:06 PM,Disturbance
Warrant Arrest,Trolley - Central Campus Station,7:16 PM,Other
Illegal Camping,Skaggs Pharmaceutical Sciences Building,7:54 PM,Disturbance
Fire Alarm,Tdlln -Pulse,8:28 PM,Disturbance
Injury,Muir Field,8:31 PM,Welfare
Incomplete/Accidental Landline 911 Call,Trolley - La Jolla Health Station,8:34 PM,Non-Emergent Call or Report
Citizen Assist,Villa La Jolla Drive - Private Residence,9:08 PM,Other
Noise Disturbance,Tapestry,11:08 PM,Disturbance
Incomplete/Accidental Landline 911 Call,South Parking Structure,11:28 PM,Non-Emergent Call or Report
Noise Disturbance,Sankofa,12:04 AM,Disturbance
Party Disturbance,Kathmandu,12:21 AM,Disturbance
Suspicious Person,Tapioca Express,12:21 AM,Disturbance
Noise Disturbance,Latin America Hall,12:33 AM,Disturbance
Party Disturbance,Seventh College East #2,12:44 AM,Disturbance
Argument Disturbance,Sankofa,12:53 AM,Disturbance
Noise Disturbance,Argo Hall,2:20 AM,Disturbance
Burglary Alarm,Leichtag Biomedical Bldg.,2:56 AM,Theft and Damage
Incomplete/Accidental Wireless 911,Blake Hall,3:00 AM,Non-Emergent Call or Report
Fire Alarm,Atkinson Hall,4:00,Disturbance
Assist Other Agency,Radiation Oncology Center,7:34,Other
Fire Alarm,Kaleidoscope,10:18 AM,Disturbance
Report of Petty Theft - Micro Mobility Device,Triton Steps,6:50 AM - 12:00 PM,Theft and Damage
Report of Fraud,Piedra,12:16 PM,Theft and Damage
Report of Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,6:10 PM - 11:00 PM,Theft and Damage
Suspicious Person,Costa Verde Boulevard,1:13 PM,Disturbance
Fire Alarm,Atkinson Hall,1:42 PM,Disturbance
Psych Subject Disturbance,Regents Road/Regents Park Row,2:40 PM,Disturbance
Burglary Alarm,Leichtag Biomedical Bldg.,5:55 PM,Theft and Damage
Burglary Alarm,Registrar,6:07 PM,Theft and Damage
Suspicious Vehicle,Parking Lot P604,6:27 PM,Disturbance
Welfare Check,Thurgood Marshall Res Hall O,7:10 PM,Welfare
Information,Warren Pump House,7:53 PM,Non-Emergent Call or Report
Suspicious Vehicle,South Mesa Apartments,8:00 PM,Disturbance
Burglary Alarm,Leichtag Biomedical Bldg.,8:34 PM,Theft and Damage
Fire Alarm,Pulse,8:58 PM,Disturbance
Citizen Contact,Cala,10:04 PM,Other
Citizen Contact,Exchange,10:09 PM,Other
Fire Alarm,North America Hall,10:22 PM - 10:47 PM,Disturbance
Fire Alarm,Kaleidoscope,10:24 PM,Disturbance
Information,Medical Education and Telemedicine,10:58 PM,Non-Emergent Call or Report
Noise Disturbance,North America Hall,12:03 AM,Disturbance
Alcohol Contact,Equality Lane,12:03 AM,Drugs
Incomplete/Accidental Wireless 911 Call,Blake Hall,1:22 AM,Non-Emergent Call or Report
Excessive Alcohol: Public Over Intoxication,Earth Hall - South,6:28 AM-7:06 AM,Drugs
Trespass: Camping on UC Campus,Che Café,6:42 AM,Disturbance
Motor Vehicle Theft,Mesa Apartments - South,6:30 PM - 7:30 AM,Theft and Damage
Welfare Check,Vela,10:30 AM,Welfare
Incomplete/Accidental Wireless 911 Call,La Jolla Village Drive,11:17 AM,Non-Emergent Call or Report
Injury,Hopkins Parking,11:58 AM,Welfare
Trespass: Camping on UC Campus/ Stay Away Order Issuance,University Center,12:47 PM,Disturbance
Illegal Parking,Science and Engineering Research,1:09 PM,Traffic
Medical Aid,Rita Atkinson,4:27 PM,Welfare
In Custody,Villa La Jolla Drive,4:42 PM,Other
Fire Alarm,Tdlln - Azad,4:50 PM,Disturbance
Petty Theft,Campus Emergency Services Building,5:36 PM,Theft and Damage
Petty Theft,Scholars Drive,4:35PM-5:05PM,Theft and Damage
Injury,Lion tree Arena,7:34 PM,Welfare
Petty Theft - Micro Mobility Device,Gilman Drive,1:28 PM-6:20 PM,Theft and Damage
Fire Alarm,Kaleidoscope,8:44 PM,Disturbance
Drunk Driving,Rita Atkinson,9:28 PM,Traffic
Medical Aid,North America Hall,9:48PM-10:41PM,Welfare
Noise Disturbance,Seventh College,11:07 PM,Disturbance
Alcohol Contact,Kathmandu House,11:27 PM,Drugs
Illegal Camping,Mandell Weiss,11:52 PM,Disturbance
Petty Theft - Micro Mobility Device,Gilman Drive,1:28 PM-6:20 PM,Theft and Damage
Noise Disturbance,Asia Hall,12:05 AM,Disturbance
Noise Disturbance,Rya,12:55 AM,Disturbance
Medical Aid,Trolley- Central Campus Station,2:29 AM,Welfare
Noise Disturbance,Cresta,2:56 AM,Disturbance
Information,Scripps Memorial Hospital,3:15 AM,Non-Emergent Call or Report
Disturbance,Conrad Prebys Music Center,3:46 AM,Disturbance
Petty Theft,The Jeannie (Bathrooms Area),5:30 PM - 6:15 PM,Theft and Damage
Citizen Contact,Price Center East,4:43 AM,Other
Citizen Flagdown,9781 Greenhouse Lane,5:56 AM,Other
Security Alarm,Campus Curbside Pickup,6:16 AM,Disturbance
Collision With Injury,Mandeville Lane/ Gilman Drive,6:10 AM,Traffic
Welfare Check,Discovery Way,6:24 AM,Welfare
Security Alarm,Warren Lecture Hall,6:29 AM,Disturbance
Campus Security Authority Report (CSA),UCSD Residential Building,Unknown,Non-Emergent Call or Report
Suspicious Vehicle,Voight Drive (West),8:51 AM,Disturbance
Fire Alarm,Astilla,9:22 AM,Disturbance
Fire Alarm,Price Center East,9:32 AM,Disturbance
Information,Thornton Pavilion,11:09 AM,Non-Emergent Call or Report
Incomplete/ Accidental Wireless 911 Call,Genesee Avenue,12:05 PM,Non-Emergent Call or Report
Medical Aid,Garden View Road,12:29 PM,Welfare
Incomplete/ Accidental Wireless 911 Call,Genesee Avenue,1:17 PM,Non-Emergent Call or Report
Incomplete/ Accidental Wireless 911 Call,Russell Lane/ Gilman Drive,3:42 PM,Non-Emergent Call or Report
Suspicious Circumstances,Tuolumne Apartments,4:00 AM,Disturbance
"Disturbance, Psych Subject",La Jolla Village Drive/Villa La Jolla Drive (Off Campus),4:16 PM,Disturbance
Incomplete/ Accidental Landline 911 Call,Sun God,5:20 PM,Non-Emergent Call or Report
Campus Security Authority Report (CSA),Pulse,2:00 AM - 5:00 AM,Non-Emergent Call or Report
Incomplete/ Accidental Landline 911 Call,Mosaic,5:41 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,6:00 PM,Non-Emergent Call or Report
Medical Aid,Rita Atkinson Residences,6:41 PM,Welfare
Marijuana Contact,Campus Emergency Services Building,6:47 PM,Drugs
Security Alarm,Black Resource Center,7:15 PM,Disturbance
Medical Aid,Humanities And Social Sciences,7:26 PM,Welfare
Fire Alarm,Sankofa On Scholars Drive South,8:47 PM,Disturbance
Incomplete/ Accidental Landline 911 Call,Mosaic,9:12 PM,Non-Emergent Call or Report
Injury,RIMAC,9:45 PM - 10:50 PM,Welfare
Missing Vehicle,Scholars Parking On Scholars Drive North,10:09 PM,Theft and Damage
Injury,Exploration Walk/ Ridge Walk,10:23 PM - 10:57 PM,Welfare
Trespass: Non-Student Refusing to Leave University,Theatre District Parking,12:00 AM,Disturbance
Noise Disturbance,Neighborhood - Coast Apartments On Discovery Way/ Redwood Drive,10:36 PM,Disturbance
Excessive Alcohol: Over intoxication in Residence,Earth Hall North,10:53 PM,Drugs
Alcohol Contact,Marshall Upper Apartments,10:59 PM,Drugs
Information,Miramar Circle/ Mesa Lane,10:59 PM,Non-Emergent Call or Report
Incomplete/ Accidental Wireless 911 Call,Charles David Keeling Apartments 2,11:10 PM,Non-Emergent Call or Report
Petty Theft,UCSD Hospital Hillcrest,4:00 PM,Theft and Damage
Medical Aid,Marshall Upper Apartments M,12:01 AM,Welfare
Stay Away Order Issuance,Charles David Keeling Apartments,12:06 AM - 12:43 AM,Disturbance
Citizen Contact,Charles David Keeling Apartments,1:01 AM,Other
Noise Disturbance,Matthews Apartments E,1:10 AM,Disturbance
Vandalism,Parking Lot P701,1:35 AM,Theft and Damage
Security Alarm,Price Center West - Bookstore,5:59 AM,Disturbance
Disturbance,Villa La Jolla Drive/Gilman Drive (On Campus),6:14 AM,Disturbance
Incomplete/ Accidental Wireless 911 Call,Tioga Hall,8:02 AM,Non-Emergent Call or Report
Suspicious Circumstances,Mesa Apartments Central,6:00 PM - 08:20 AM,Disturbance
Stay Away Order Issuance,Potiker Theater,9:35 AM,Disturbance
Petty Theft - Micro Mobility Device,Solis Hall,9:25 AM - 9:35 AM,Theft and Damage
Incomplete/ Accidental Wireless 911 Call,Campus Point Court,10:56 AM,Non-Emergent Call or Report
Hazard Situation,Stein Clinical Research,10:58 AM,Other
Information Only Report,Seventh College East #2,Unknown,Non-Emergent Call or Report
Fraud,Viento On Miramar Street,12:37 PM,Theft and Damage
Annoying/ Harassing Phone Calls,Otterson Hall On Scholars Drive North,1:14 PM,Disturbance
Incomplete/ Accidental Wireless 911 Call,Thornton Pavilion On Campus Point Drive,2:25 PM,Non-Emergent Call or Report
Collision With Injury,Tata Hall,3:23 PM - 4:17 PM,Traffic
Animal Call,64 Degrees On Scholars Drive South,3:23 PM,Other
Courtesy Report for Outside Agency: Fraud,"San Diego, California",Unknown,Theft and Damage
Welfare Check,TDLLN - Survivance,5:33 PM,Welfare
Incomplete/ Accidental Wireless 911 Call,Artesa,5:43 PM,Non-Emergent Call or Report
